('138', '玩具总动员3', '2010', '李·昂克里奇 Lee Unkrich', '美国', '8.8')
('139', '谍影重重3', '2007', '保罗·格林格拉斯 Paul Greengrass', '美国 德国', '8.8')
('140', '血战钢锯岭', '2016', '梅尔·吉布森 Mel Gibson', '美国 澳大利亚', '8.7')
('141', '疯狂原始人', '2013', '科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders', '美国', '8.7')
('142', '七武士', '1954', '黑泽明 Akira Kurosawa', '日本', '9.2')
('143', '喜宴', '1993', '李安 Ang Lee', '台湾 美国', '8.9')
('144', '英雄本色', '1986', '吴宇森 John Woo', '香港', '8.7')
('145', '真爱至上', '2003', '理查德·柯蒂斯 Richard Curtis', '英国 美国 法国', '8.6')
('146', '东邪西毒', '1994', '王家卫 Kar Wai Wong', '香港 台湾', '8.6')
('147', '萤火虫之墓', '1988', '高畑勋 Isao Takahata', '日本', '8.7')
('148', '傲慢与偏见', '2005', '乔·怀特 Joe Wright', '法国 英国 美国', '8.5')
('149', '时空恋旅人', '2013', '理查德·柯蒂斯 Richard Curtis', '英国', '8.7')
('150', '贫民窟的百万富翁', '2008', '丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan', '英国 美国', '8.6')
('151', '黑天鹅', '2010', '达伦·阿罗诺夫斯基 Darren Aronofsky', '美国', '8.5')
('152', '记忆碎片', '2000', '克里斯托弗·诺兰 Christopher Nolan', '美国', '8.6')
('153', '心迷宫', '2014', '忻钰坤 Yukun Xin', '中国大陆', '8.7')
('154', '纵横四海', '1991', '吴宇森 John Woo', '香港', '8.8')
('155', '教父3', '1990', '弗朗西斯·福特·科波拉 Francis Ford Coppola', '美国', '8.8')
('156', '荒蛮故事', '2014', '达米安·斯兹弗隆 Damián Szifron', '阿根廷 西班牙', '8.8')
('157', '完美的世界', '1993', '克林特·伊斯特伍德 Clint Eastwood', '美国', '9.1')
('158', '达拉斯买家俱乐部', '2013', '让-马克·瓦雷 Jean-Marc Vallée', '美国', '8.7')
('159', '雨人', '1988', '巴瑞·莱文森 Barry Levinson', '美国', '8.7')
('160', '花样年华', '2000', '王家卫 Kar Wai Wong', '香港', '8.6')
('161', '三块广告牌', '2017', '马丁·麦克唐纳 Martin McDonagh', '美国 英国', '8.7')
